brand,category,dimensions,attributes,name_en,desc_en,name_fr,desc_fr,owner,owner_id,price,number_in_stock,discount,phone_number,status,address,city,colors,size,thumbnail_index,,,,
"{""name"":""Samsung""}","{""main"":""Electronics"",""sub"":""TV""}","{""hcm"":45, ""wcm"":32, ""kg"":2}","{""type"":""Smart Tv"", ""OS"":""Android""}",Life Show,Smart android Tv,Life Show,Smart android Tv,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,68000,1,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""Samsung""}","{""main"":""Electronics"",""sub"":""TV""}","{""hcm"":45, ""wcm"":32, ""kg"":2}","{""type"":""TV""}",newDSC,Standered Tv,newDSC,Standered Tv,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,60000,1,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""LG""}","{""main"":""Electronics"",""sub"":""TV""}","{""hcm"":45, ""wcm"":32, ""kg"":2}","{""type"":""Smart Tv"", ""OS"":""Android""}",Life Show,Smart android Tv,Life Show,Smart android Tv,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,68000,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""LG""}","{""main"":""Electronics"",""sub"":""TV""}","{""hcm"":45, ""wcm"":32, ""kg"":2}","{""type"":""TV""}",newDSC,Standered Tv,newDSC,Standered Tv,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,60000,1,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""Hamer""}","{""main"":""Electronics"",""sub"":""Music""}","{""hcm"":37, ""wcm"":33, ""kg"":5}","{""side Speakers"":3}",HM-X5,Woofer,HM-X5,woofer,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,30000,1,10,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""ONO""}","{""main"":""Electronics"",""sub"":""Music""}","{""hcm"":37, ""wcm"":33, ""kg"":5}","{""side Speakers"":3}",SN-X5,Woofer,SN-X5,woofer,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,30000,1,10,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""ONO""}","{""main"":""Electronics"",""sub"":""Music""}","{""hcm"":37, ""wcm"":33, ""kg"":5}","{""side Speakers"":3}",SN-X5,Woofer,SN-X5,woofer,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,30000,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""Jerry""}","{""main"":""Electronics"",""sub"":""Music""}","{""hcm"":37, ""wcm"":33, ""kg"":5}","{""side Speakers"":3}",J83,Woofer,J83,woofer,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,30000,2,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""Jerry""}","{""main"":""Electronics"",""sub"":""Music""}","{""hcm:37, ""wcm"":33, ""kg"":5}","{""side Speakers"":3}",J53,Woofer,J53,woofer,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,30000,1,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
"{""name"":""Jerry""}","{""main"":""Electronics"",""sub"":""Music""}","{""hcm"":37, ""wcm"":33, ""kg"":5}","{""side Speakers"":3}",6030,Woofer,6030,woofer,Fabricetelecom,f1ca2adf-723e-4fe6-b7d1-4ec5af58b96b,30000,1,0,670318040,New,Kombe Market,Douala,{black},{},0,,,,
